SEQUENCE;CODE;LEVEL;TITLE;GENERAL_NOTES;INCLUDES;ALSO_INCLUDES;EXCLUDES;CASELAW;UNITOFMEASURE
1;"I";1;"SECTION I, LIVE ANIMALS; ANIMAL PRODUCTS";;;;;;
2;"01";2;CHAPTER 1: LIVE ANIMALS;;;;;;
3;"0101";3;Live horses, asses, mules and hinnies;;;;;;
4;"0101 21";4;Pure-bred breeding horses;;;;;;
5;"0101 21 00";5;Pure-bred breeding horses;;;;;;
6;"0101 29";4;Live horses (excl. pure-bred for breeding);;;;;;
7;"0101 29 10";5;Horses for slaughter;;;;;;
8;"0101 29 90";5;Live horses (excl. for slaughter, pure-bred for breeding);;;;;;
9;"0101 30";4;Live asses;;;;;;
10;"0101 30 00";5;Live asses;;;;;;
11;"0101 90";4;Live mules and hinnies;;;;;;
12;"0101 90 00";5;Live mules and hinnies;;;;;;
13;"0102";3;Live bovine animals;;;;;;
14;"0102 21";4;Pure-bred cattle for breeding;;;;;;
15;"0102 21 10";5;"Pure-bred breeding heifers ""female bovines that have never calved""";;;;;;
16;"0102 21 30";5;Pure-bred breeding cows (excl. heifers);;;;;;
17;"0102 21 90";5;Pure-bred cattle for breeding (excl. heifers and cows);;;;;;
18;"0102 29";4;Live cattle (excl. pure-bred for breeding);;;;;;
19;"0102 29 05";5;Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding);;;;;;
20;"0102 29 10";5;Live cattle of a weight <= 80 kg (excl. pure-bred for breeding);;;;;;
21;"0102 29 21";5;Cattle of a weight > 80 kg but <= 160 kg, for slaughter;;;;;;
22;"0102 29 29";5;Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding);;;;;;
23;"0102 29 41";5;Cattle of a weight > 160 kg but <= 300 kg, for slaughter;;;;;;
24;"0102 29 49";5;Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding);;;;;;
25;"0102 29 51";5;"Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter";;;;;;
26;"0102 29 59";5;"Live heifers ""female bovines that have never calved"" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)";;;;;;
27;"0102 29 61";5;Cows of a weight > 300 kg, for slaughter (excl. heifers);;;;;;
28;"0102 29 69";5;Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers);;;;;;
29;"0102 29 91";5;Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows);;;;;;
30;"0102 29 99";5;Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows);;;;;;
31;"0102 31";4;Pure-bred buffalo for breeding;;;;;;
32;"0102 31 00";5;Pure-bred buffalo for breeding;;;;;;
33;"0102 39";4;Live buffalo (excl. pure-bred for breeding);;;;;;
34;"0102 39 10";5;Live domestic buffalo (excl. pure-bred for breeding);;;;;;
35;"0102 39 90";5;Live buffalo (excl. domestic species and pure-bred for breeding);;;;;;
36;"0102 90";4;Live bovine animals (excl. cattle and buffalo);;;;;;
37;"0102 90 20";5;Bovine pure-bred breeding animals (excl. cattle and buffalo);;;;;;
38;"0102 90 91";5;Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding);;;;;;
39;"0102 90 99";5;Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species);;;;;;
40;"0103";3;Live swine;;;;;;
41;"0103 10";4;Pure-bred breeding swine;;;;;;
42;"0103 10 00";5;Pure-bred breeding swine;;;;;;
43;"0103 91";4;Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding);;;;;;
44;"0103 91 10";5;Domestic swine, weighing < 50 kg (excl. pure-bred for breeding);;;;;;
45;"0103 91 90";5;Live non-domestic swine, weighing < 50 kg;;;;;;
46;"0103 92";4;Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding);;;;;;
47;"0103 92 11";5;Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding);;;;;;
48;"0103 92 19";5;Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding);;;;;;
49;"0103 92 90";5;Live non-domestic swine, weighing >= 50 kg;;;;;;
50;"0104";3;Live sheep and goats;;;;;;
51;"0104 10";4;Live sheep;;;;;;
52;"0104 10 10";5;Pure-bred sheep for breeding;;;;;;
53;"0104 10 30";5;"Live lambs ""sheep up to a year old"" (excl. purebred breeding animals)";;;;;;
54;"0104 10 80";5;Live sheep (excl. lambs and pure-bred breeding animals);;;;;;
55;"0104 20";4;Live goats;;;;;;
56;"0104 20 10";5;Pure-bred breeding goats;;;;;;
57;"0104 20 90";5;Live goats (excl. pure-bred for breeding);;;;;;
58;"0105";3;"Live poultry, ""fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""";;;;;;
59;"0105 11";4;Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls);;;;;;
60;"0105 11 11";5;Grandparent and parent female chicks of fowls of the species Gallus domesticus laying stocks of a weight of <= 185 g;;;;;;
61;"0105 11 19";5;Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks);;;;;;
62;"0105 11 91";5;"Laying stock ""fowls of the species Gallus domesticus"" of a weight of <= 185 g (excl. grandparent and parent female chicks)";;;;;;
63;"0105 11 99";5;Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks);;;;;;
64;"0105 12";4;Live domestic turkeys, weighing <= 185 g;;;;;;
65;"0105 12 00";5;Live domestic turkeys, weighing <= 185 g;;;;;;
66;"0105 13";4;Live domestic ducks, weighing <= 185 g;;;;;;
67;"0105 13 00";5;Live domestic ducks, weighing <= 185 g;;;;;;
68;"0105 14";4;Live domestic geese, weighing <= 185 g;;;;;;
69;"0105 14 00";5;Live domestic geese, weighing <= 185 g;;;;;;
70;"0105 15";4;Live domestic guinea fowls, weighing <= 185 g;;;;;;
71;"0105 15 00";5;Live domestic guinea fowls, weighing <= 185 g;;;;;;
72;"0105 94";4;Live fowls of the species Gallus domesticus, weighing > 185;;;;;;
73;"0105 94 00";5;Live fowls of the species Gallus domesticus, weighing > 185;;;;;;
74;"0105 99";4;Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g;;;;;;
75;"0105 99 10";5;Live domestic ducks, weighing > 185 g;;;;;;
76;"0105 99 20";5;Live domestic geese, weighing > 185 g;;;;;;
77;"0105 99 30";5;Live domestic turkeys, weighing > 185 g;;;;;;
78;"0105 99 50";5;Live domestic guinea fowls, weighing > 185 g;;;;;;
79;"0106";3;Live animals (excl. horses, asses, mules, hinnies, bovine animals, swine, sheep, goats, poultry, fish, crustaceans, molluscs and other aquatic invertebrates, and microorganic cultures etc.);;;;;;
80;"0106 11";4;Live primates;;;;;;
81;"0106 11 00";5;Live primates;;;;;;
82;"0106 12";4;"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)";;;;;;
83;"0106 12 00";5;"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)";;;;;;
84;"0106 13";4;Live camels and other camelids [Camelidae];;;;;;
85;"0106 13 00";5;Live camels and other camelids [Camelidae];;;;;;
86;"0106 14";4;Live rabbits and hares;;;;;;
87;"0106 14 10";5;Live domestic rabbits;;;;;;
88;"0106 14 90";5;Live rabbits and hares (excl. domestic rabbits);;;;;;
89;"0106 19";4;Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats);;;;;;
90;"0106 19 00";5;Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats);;;;;;
91;"0106 20";4;"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""";;;;;;
92;"0106 20 00";5;"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""";;;;;;
93;"0106 31";4;Live birds of prey;;;;;;
94;"0106 31 00";5;Live birds of prey;;;;;;
95;"0106 32";4;"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""";;;;;;
96;"0106 32 00";5;"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""";;;;;;
97;"0106 33";4;Live ostriches, and emus [Dromaius novaehollandiae];;;;;;
98;"0106 33 00";5;Live ostriches, and emus [Dromaius novaehollandiae];;;;;;
99;"0106 39";4;Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus);;;;;;
100;"0106 39 10";5;Live pigeons;;;;;;
101;"0106 39 80";5;Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons);;;;;;
102;"0106 41";4;Live bees;;;;;;
103;"0106 41 00";5;Live bees;;;;;;
104;"0106 49";4;Live insects (excl. bees);;;;;;
105;"0106 49 00";5;Live insects (excl. bees);;;;;;
106;"0106 90";4;Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.);;;;;;
107;"0106 90 00";5;Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.);;;;;;
108;"02";2;CHAPTER 2: MEAT AND EDIBLE MEAT OFFAL;;;;;;
109;"0201";3;Meat of bovine animals, fresh or chilled;;;;;;
110;"0201 10";4;Carcases or half-carcases of bovine animals, fresh or chilled;;;;;;
111;"0201 10 00";5;Carcases or half-carcases of bovine animals, fresh or chilled;;;;;;
112;"0201 20";4;Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases);;;;;;
113;"0201 20 20";5;"""Compensated"" quarters of bovine animals with bone in, fresh or chilled";;;;;;
114;"0201 20 30";5;Unseparated or separated forequarters of bovine animals, with bone in, fresh or chilled;;;;;;
115;"0201 20 50";5;Unseparated or separated hindquarters of bovine animals, with bone in, fresh or chilled;;;;;;
116;"0201 20 90";5;"Fresh or chilled bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated quarters"", forequarters and hindquarters)";;;;;;
117;"0201 30";4;Fresh or chilled bovine meat, boneless;;;;;;
118;"0201 30 00";5;Fresh or chilled bovine meat, boneless;;;;;;
119;"0202";3;Meat of bovine animals, frozen;;;;;;
120;"0202 10";4;Frozen bovine carcases and half-carcases;;;;;;
121;"0202 10 00";5;Frozen bovine carcases and half-carcases;;;;;;
122;"0202 20";4;Frozen bovine cuts, with bone in (excl. carcases and half-carcases);;;;;;
123;"0202 20 10";5;"Frozen ""compensated"" bovine quarters, with bone in";;;;;;
124;"0202 20 30";5;Frozen unseparated or separated bovine forequarters, with bone in;;;;;;
125;"0202 20 50";5;Frozen unseparated or separated bovine hindquarters, with bone in;;;;;;
126;"0202 20 90";5;"Frozen bovine cuts, with bone in (excl. carcases and half-carcases, ""compensated"" quarters, forequarters and hindquarters)";;;;;;
127;"0202 30";4;Frozen, boneless meat of bovine animals;;;;;;
128;"0202 30 10";5;"Frozen bovine boneless forequarters, whole or cut in max. 5 pieces, each quarter in 1 block; ""compensated"" quarters in 2 blocks, one containing the forequarter, whole or cut in max. 5 pieces, and the other the whole hindquarter, excl. the tenderloin, in one piece";;;;;;
129;"0202 30 50";5;Frozen bovine boneless crop, chuck and blade and brisket cuts;;;;;;
130;"0202 30 90";5;"Frozen bovine boneless meat (excl. forequarters, whole or cut into a maximum of five pieces, each quarter being in a single block ""compensated"" quarters in two blocks, one of which contains the forequarter, whole or cut into a maximum of five pieces, and the other, the hindquarter, excl. the tenderloin, in one piece, crop, chuck and blade and brisket cuts)";;;;;;
131;"0203";3;Meat of swine, fresh, chilled or frozen;;;;;;
132;"0203 11";4;Fresh or chilled carcases and half-carcases of swine;;;;;;
133;"0203 11 10";5;Fresh or chilled domestic swine carcases and half-carcases;;;;;;
134;"0203 11 90";5;Fresh or chilled non-domestic swine carcases and half-carcases;;;;;;
135;"0203 12";4;Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in;;;;;;
136;"0203 12 11";5;Fresh or chilled with bone in, domestic swine hams and cuts thereof;;;;;;
137;"0203 12 19";5;Fresh or chilled with bone in, domestic swine shoulders and cuts thereof;;;;;;
138;"0203 12 90";5;Fresh or chilled hams, shoulders and cuts thereof with bone in of non-domestic swine;;;;;;
139;"0203 19";4;Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in);;;;;;
140;"0203 19 11";5;Fresh or chilled fore-ends and cuts thereof of domestic swine;;;;;;
141;"0203 19 13";5;Fresh or chilled loins and cuts thereof of domestic swine;;;;;;
142;"0203 19 15";5;"Fresh or chilled bellies ""streaky"" and cuts thereof of domestic swine";;;;;;
143;"0203 19 55";5;Fresh or chilled boneless meat of domestic swine (excl. bellies and cuts thereof);;;;;;
144;"0203 19 59";5;Fresh or chilled meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof);;;;;;
145;"0203 19 90";5;Fresh or chilled meat of non-domestic swine (excl. carcases and half-carcases, hams, shoulders and cuts thereof, with bone in);;;;;;
146;"0203 21";4;Frozen carcases and half-carcases of swine;;;;;;
147;"0203 21 10";5;Frozen domestic swine carcases and half-carcases;;;;;;
148;"0203 21 90";5;Frozen non-domestic swine carcases and half-carcases;;;;;;
149;"0203 22";4;Frozen hams, shoulders and cuts thereof of swine, with bone in;;;;;;
150;"0203 22 11";5;Frozen hams and cuts thereof of domestic swine, with bone in;;;;;;
151;"0203 22 19";5;Frozen shoulders and cuts thereof of domestic swine, with bone in;;;;;;
152;"0203 22 90";5;Frozen hams, shoulders and cuts thereof of non-domestic swine, with bone in;;;;;;
153;"0203 29";4;Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in);;;;;;
154;"0203 29 11";5;Frozen fore-ends and cuts thereof of domestic swine;;;;;;
155;"0203 29 13";5;Frozen loins and cuts thereof of domestic swine, with bone in;;;;;;
156;"0203 29 15";5;"Frozen bellies ""streaky"" and cuts thereof of domestic swine";;;;;;
157;"0203 29 55";5;Frozen boneless meat of domestic swine (excl. bellies and cuts thereof);;;;;;
158;"0203 29 59";5;Frozen meat of domestic swine, with bone in (excl. carcases and half-carcases, hams, shoulders and cuts thereof, and fore-ends, loins, bellies and cuts thereof);;;;;;
159;"0203 29 90";5;Frozen meat of non-domestic swine (excl. carcases and half-carcases and hams, shoulders and cuts thereof, with bone in);;;;;;
160;"0204";3;Meat of sheep or goats, fresh, chilled or frozen;;;;;;
161;"0204 10";4;Fresh or chilled lamb carcases and half-carcases;;;;;;
162;"0204 10 00";5;Fresh or chilled lamb carcases and half-carcases;;;;;;
163;"0204 21";4;Fresh or chilled sheep carcases and half-carcases (excl. lambs);;;;;;
164;"0204 21 00";5;Fresh or chilled sheep carcases and half-carcases (excl. lambs);;;;;;
165;"0204 22";4;Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases);;;;;;
166;"0204 22 10";5;Fresh or chilled sheep short forequarters;;;;;;
167;"0204 22 30";5;Fresh or chilled sheep chines and/or best ends;;;;;;
168;"0204 22 50";5;Fresh or chilled sheep legs;;;;;;
169;"0204 22 90";5;Fresh or chilled boneless cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs);;;;;;
170;"0204 23";4;Fresh or chilled boneless cuts of sheep;;;;;;
171;"0204 23 00";5;Fresh or chilled boneless cuts of sheep;;;;;;
172;"0204 30";4;Frozen lamb carcases and half-carcases;;;;;;
173;"0204 30 00";5;Frozen lamb carcases and half-carcases;;;;;;
174;"0204 41";4;Frozen sheep carcases and half-carcases (excl. lambs);;;;;;
175;"0204 41 00";5;Frozen sheep carcases and half-carcases (excl. lambs);;;;;;
176;"0204 42";4;Frozen cuts of sheep, with bone in (excl. carcases and half-carcases);;;;;;
177;"0204 42 10";5;Frozen sheep short forequarters;;;;;;
178;"0204 42 30";5;Frozen sheep chines and/or best ends;;;;;;
179;"0204 42 50";5;Frozen sheep legs;;;;;;
180;"0204 42 90";5;Frozen cuts of sheep, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs);;;;;;
181;"0204 43";4;Frozen boneless cuts of sheep;;;;;;
182;"0204 43 10";5;Frozen meat of lambs, boneless, frozen;;;;;;
183;"0204 43 90";5;Frozen meat of sheep, boneless (excl. lamb);;;;;;
184;"0204 50";4;Fresh, chilled or frozen meat of goats;;;;;;
185;"0204 50 11";5;Fresh or chilled goat carcases and half-carcases;;;;;;
186;"0204 50 13";5;Fresh or chilled goat short forequarters;;;;;;
187;"0204 50 15";5;Fresh or chilled goat chines and/or best ends;;;;;;
188;"0204 50 19";5;Fresh or chilled legs of goat;;;;;;
189;"0204 50 31";5;Fresh or chilled cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs);;;;;;
190;"0204 50 39";5;Fresh or chilled boneless cuts of goat;;;;;;
191;"0204 50 51";5;Frozen goat carcases and half-carcases;;;;;;
192;"0204 50 53";5;Frozen goat short forequarters;;;;;;
193;"0204 50 55";5;Frozen goat chines and/or best ends;;;;;;
194;"0204 50 59";5;Frozen goat legs;;;;;;
195;"0204 50 71";5;Frozen cuts of goat, with bone in (excl. carcases and half-carcases, short forequarters, chines and/or best ends, and legs);;;;;;
196;"0204 50 79";5;Frozen boneless cuts of goat;;;;;;
197;"0205";3;Meat of horses, asses, mules or hinnies, fresh, chilled or frozen;;;;;;
198;"0205 00";4;Meat of horses, asses, mules or hinnies, fresh, chilled or frozen;;;;;;
199;"0205 00 20";5;Fresh or chilled meat of horses, asses, mules or hinnies;;;;;;
200;"0205 00 80";5;Frozen meat of horses, asses, mules or hinnies;;;;;;
201;"0206";3;Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen;;;;;;
202;"0206 10";4;Fresh or chilled edible offal of bovine animals;;;;;;
203;"0206 10 10";5;Fresh or chilled edible bovine offal for manufacture of pharmaceutical products;;;;;;
204;"0206 10 95";5;Fresh or chilled edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products);;;;;;
205;"0206 10 98";5;Fresh or chilled edible bovine offal (excl. for manufacture of pharmaceutical products, thick and thin skirt);;;;;;
206;"0206 21";4;Frozen edible bovine tongues;;;;;;
207;"0206 21 00";5;Frozen edible bovine tongues;;;;;;
208;"0206 22";4;Frozen edible bovine livers;;;;;;
209;"0206 22 00";5;Frozen edible bovine livers;;;;;;
210;"0206 29";4;Frozen edible bovine offal (excl. tongues and livers);;;;;;
211;"0206 29 10";5;Frozen edible bovine offal for manufacture of pharmaceutical products (excl. tongues and livers);;;;;;
212;"0206 29 91";5;Frozen edible bovine thick and thin skirt (excl. for manufacture of pharmaceutical products);;;;;;
213;"0206 29 99";5;Frozen edible bovine offal (excl. for manufacture of pharmaceutical products, tongues, livers and thick and thin skirt);;;;;;
214;"0206 30";4;Fresh or chilled edible offal of swine;;;;;;
215;"0206 30 00";5;Fresh or chilled edible offal of swine;;;;;;
216;"0206 41";4;Frozen edible livers of swine;;;;;;
217;"0206 41 00";5;Frozen edible livers of swine;;;;;;
218;"0206 49";4;Edible offal of swine, frozen (excl. livers);;;;;;
219;"0206 49 00";5;Edible offal of swine, frozen (excl. livers);;;;;;
220;"0206 80";4;Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies;;;;;;
221;"0206 80 10";5;Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies, for manufacture of pharmaceutical products;;;;;;
222;"0206 80 91";5;Fresh or chilled edible offal of horses, asses, mules and hinnies (excl. for manufacture of pharmaceutical products);;;;;;
223;"0206 80 99";5;Fresh or chilled edible offal of sheep and goats (excl. for manufacture of pharmaceutical products);;;;;;
224;"0206 90";4;Frozen edible offal of sheep, goats, horses, asses, mules and hinnies;;;;;;
225;"0206 90 10";5;Frozen edible offal of sheep, goats, horses, mules and hinnies, for manufacture of pharmaceutical products;;;;;;
