Import,Year,Country,KG,DKK,HS_Code,Commodity_Name
Import,2020,Diskretioneret,0,0,07011000,Læggekartofler
Import,2020,Uoplyst land,0,0,07011000,Læggekartofler
Import,2020,Uoplyst land EU-lande,0,0,07011000,Læggekartofler
Import,2020,Uoplyst land 3. Lande,0,0,07011000,Læggekartofler
Import,2020,I alt,2032245,1437134,07019010,"Kartofler, friske eller kølede, til fremstilling af stivelse"
Import,2020,Diskretioneret,0,0,07019010,"Kartofler, friske eller kølede, til fremstilling af stivelse"
Import,2020,Uoplyst land,0,0,07019010,"Kartofler, friske eller kølede, til fremstilling af stivelse"
Import,2020,Uoplyst land EU-lande,0,0,07019010,"Kartofler, friske eller kølede, til fremstilling af stivelse"
Import,2020,Uoplyst land 3. Lande,0,0,07019010,"Kartofler, friske eller kølede, til fremstilling af stivelse"
Import,2020,I alt,3160649,13422329,07019050,"Nye kartofler, friske eller kølede, i perioden 1 januar til 30 juni"
Import,2020,Diskretioneret,0,0,07019050,"Nye kartofler, friske eller kølede, i perioden 1 januar til 30 juni"
Import,2020,Uoplyst land,0,0,07019050,"Nye kartofler, friske eller kølede, i perioden 1 januar til 30 juni"
Import,2020,Uoplyst land EU-lande,0,0,07019050,"Nye kartofler, friske eller kølede, i perioden 1 januar til 30 juni"
Import,2020,Uoplyst land 3. Lande,0,0,07019050,"Nye kartofler, friske eller kølede, i perioden 1 januar til 30 juni"
Import,2020,I alt,0,0,07019051,"Kartofler, nye, fersk/kølet,i perioden 1 januar - 15 maj,undt læggekartofler og kartofler til stivelsesfremstilling"
Import,2020,Diskretioneret,0,0,07019051,"Kartofler, nye, fersk/kølet,i perioden 1 januar - 15 maj,undt læggekartofler og kartofler til stivelsesfremstilling"
Import,2020,Uoplyst land,0,0,07019051,"Kartofler, nye, fersk/kølet,i perioden 1 januar - 15 maj,undt læggekartofler og kartofler til stivelsesfremstilling"
Import,2020,Uoplyst land EU-lande,0,0,07019051,"Kartofler, nye, fersk/kølet,i perioden 1 januar - 15 maj,undt læggekartofler og kartofler til stivelsesfremstilling"
Import,2020,Uoplyst land 3. Lande,0,0,07019051,"Kartofler, nye, fersk/kølet,i perioden 1 januar - 15 maj,undt læggekartofler og kartofler til stivelsesfremstilling"
Import,2020,I alt,0,0,07019059,"Kartofler, nye, fersk/kølet,i perioden 16 maj - 30 juni, undt læggekartofler og kartofler til stivelsesfrenstilling"
Import,2020,Diskretioneret,0,0,07019059,"Kartofler, nye, fersk/kølet,i perioden 16 maj - 30 juni, undt læggekartofler og kartofler til stivelsesfrenstilling"
Import,2020,Uoplyst land,0,0,07019059,"Kartofler, nye, fersk/kølet,i perioden 16 maj - 30 juni, undt læggekartofler og kartofler til stivelsesfrenstilling"
Import,2020,Uoplyst land EU-lande,0,0,07019059,"Kartofler, nye, fersk/kølet,i perioden 16 maj - 30 juni, undt læggekartofler og kartofler til stivelsesfrenstilling"
Import,2020,Uoplyst land 3. Lande,0,0,07019059,"Kartofler, nye, fersk/kølet,i perioden 16 maj - 30 juni, undt læggekartofler og kartofler til stivelsesfrenstilling"
Import,2020,I alt,79491659,174809887,07019090,"Kartofler, friske eller kølede (undtagen nye kartofler, læggekartofler og kartofler til fremstilling af stivelse)"
Import,2020,Diskretioneret,0,0,07019090,"Kartofler, friske eller kølede (undtagen nye kartofler, læggekartofler og kartofler til fremstilling af stivelse)"
Import,2020,Uoplyst land,0,0,07019090,"Kartofler, friske eller kølede (undtagen nye kartofler, læggekartofler og kartofler til fremstilling af stivelse)"
Import,2020,Uoplyst land EU-lande,0,0,07019090,"Kartofler, friske eller kølede (undtagen nye kartofler, læggekartofler og kartofler til fremstilling af stivelse)"
Import,2020,Uoplyst land 3. Lande,0,0,07019090,"Kartofler, friske eller kølede (undtagen nye kartofler, læggekartofler og kartofler til fremstilling af stivelse)"
Import,2020,I alt,37611809,543813270,07020000,"Tomater, friske eller kølede"
Import,2020,Diskretioneret,0,0,07020000,"Tomater, friske eller kølede"
Import,2020,Uoplyst land,0,0,07020000,"Tomater, friske eller kølede"
Import,2020,Uoplyst land EU-lande,0,0,07020000,"Tomater, friske eller kølede"
Import,2020,Uoplyst land 3. Lande,0,0,07020000,"Tomater, friske eller kølede"
Import,2020,I alt,0,0,07020010,"Hele tomater med største diameter, der er mindre end 47 mm, friske eller kølede"
Import,2020,Diskretioneret,0,0,07020010,"Hele tomater med største diameter, der er mindre end 47 mm, friske eller kølede"
Import,2020,Uoplyst land,0,0,07020010,"Hele tomater med største diameter, der er mindre end 47 mm, friske eller kølede"
Import,2020,Uoplyst land EU-lande,0,0,07020010,"Hele tomater med største diameter, der er mindre end 47 mm, friske eller kølede"
Import,2020,Uoplyst land 3. Lande,0,0,07020010,"Hele tomater med største diameter, der er mindre end 47 mm, friske eller kølede"
Import,2020,I alt,0,0,07020015,"Tomater, fersk/kølet, i perioden 1 januar - 31 marts"
Import,2020,Diskretioneret,0,0,07020015,"Tomater, fersk/kølet, i perioden 1 januar - 31 marts"
Import,2020,Uoplyst land,0,0,07020015,"Tomater, fersk/kølet, i perioden 1 januar - 31 marts"
Import,2020,Uoplyst land EU-lande,0,0,07020015,"Tomater, fersk/kølet, i perioden 1 januar - 31 marts"
Import,2020,Uoplyst land 3. Lande,0,0,07020015,"Tomater, fersk/kølet, i perioden 1 januar - 31 marts"
Import,2020,I alt,0,0,07020020,"Tomater, fersk/kølet, i perioden 1 april - 30 april"
Import,2020,Diskretioneret,0,0,07020020,"Tomater, fersk/kølet, i perioden 1 april - 30 april"
Import,2020,Uoplyst land,0,0,07020020,"Tomater, fersk/kølet, i perioden 1 april - 30 april"
Import,2020,Uoplyst land EU-lande,0,0,07020020,"Tomater, fersk/kølet, i perioden 1 april - 30 april"
Import,2020,Uoplyst land 3. Lande,0,0,07020020,"Tomater, fersk/kølet, i perioden 1 april - 30 april"
Import,2020,I alt,0,0,07020025,"Tomater, fersk/kølet, i perioden 1 maj - 14 maj"
Import,2020,Diskretioneret,0,0,07020025,"Tomater, fersk/kølet, i perioden 1 maj - 14 maj"
Import,2020,Uoplyst land,0,0,07020025,"Tomater, fersk/kølet, i perioden 1 maj - 14 maj"
Import,2020,Uoplyst land EU-lande,0,0,07020025,"Tomater, fersk/kølet, i perioden 1 maj - 14 maj"
Import,2020,Uoplyst land 3. Lande,0,0,07020025,"Tomater, fersk/kølet, i perioden 1 maj - 14 maj"
Import,2020,I alt,0,0,07020030,"Tomater, fersk/kølet, i perioden 15 maj - 31 maj"
Import,2020,Diskretioneret,0,0,07020030,"Tomater, fersk/kølet, i perioden 15 maj - 31 maj"
Import,2020,Uoplyst land,0,0,07020030,"Tomater, fersk/kølet, i perioden 15 maj - 31 maj"
Import,2020,Uoplyst land EU-lande,0,0,07020030,"Tomater, fersk/kølet, i perioden 15 maj - 31 maj"
Import,2020,Uoplyst land 3. Lande,0,0,07020030,"Tomater, fersk/kølet, i perioden 15 maj - 31 maj"
Import,2020,I alt,0,0,07020035,"Tomater, fersk/kølet, i perioden 1 juni - 30 september"
Import,2020,Diskretioneret,0,0,07020035,"Tomater, fersk/kølet, i perioden 1 juni - 30 september"
Import,2020,Uoplyst land,0,0,07020035,"Tomater, fersk/kølet, i perioden 1 juni - 30 september"
Import,2020,Uoplyst land EU-lande,0,0,07020035,"Tomater, fersk/kølet, i perioden 1 juni - 30 september"
Import,2020,Uoplyst land 3. Lande,0,0,07020035,"Tomater, fersk/kølet, i perioden 1 juni - 30 september"
Import,2020,I alt,0,0,07020040,"Tomater, fersk/kølet, i perioden 1 oktober - 31 oktober"
Import,2020,Diskretioneret,0,0,07020040,"Tomater, fersk/kølet, i perioden 1 oktober - 31 oktober"
Import,2020,Uoplyst land,0,0,07020040,"Tomater, fersk/kølet, i perioden 1 oktober - 31 oktober"
Import,2020,Uoplyst land EU-lande,0,0,07020040,"Tomater, fersk/kølet, i perioden 1 oktober - 31 oktober"
Import,2020,Uoplyst land 3. Lande,0,0,07020040,"Tomater, fersk/kølet, i perioden 1 oktober - 31 oktober"
Import,2020,I alt,0,0,07020045,"Tomater, fersk/kølet, i perioden 1 november - 20 december"
Import,2020,Diskretioneret,0,0,07020045,"Tomater, fersk/kølet, i perioden 1 november - 20 december"
Import,2020,Uoplyst land,0,0,07020045,"Tomater, fersk/kølet, i perioden 1 november - 20 december"
Import,2020,Uoplyst land EU-lande,0,0,07020045,"Tomater, fersk/kølet, i perioden 1 november - 20 december"
Import,2020,Uoplyst land 3. Lande,0,0,07020045,"Tomater, fersk/kølet, i perioden 1 november - 20 december"
Import,2020,I alt,0,0,07020090,"Tomater, fersk/kølet, i perioden 15 maj - 31 oktober"
Import,2020,Diskretioneret,0,0,07020090,"Tomater, fersk/kølet, i perioden 15 maj - 31 oktober"
Import,2020,Uoplyst land,0,0,07020090,"Tomater, fersk/kølet, i perioden 15 maj - 31 oktober"
Import,2020,Uoplyst land EU-lande,0,0,07020090,"Tomater, fersk/kølet, i perioden 15 maj - 31 oktober"
Import,2020,Uoplyst land 3. Lande,0,0,07020090,"Tomater, fersk/kølet, i perioden 15 maj - 31 oktober"
Import,2020,I alt,0,0,07020091,"Tomater i klaser med diameter => 47 mm, friske eller kølede"
Import,2020,Diskretioneret,0,0,07020091,"Tomater i klaser med diameter => 47 mm, friske eller kølede"
Import,2020,Uoplyst land,0,0,07020091,"Tomater i klaser med diameter => 47 mm, friske eller kølede"
Import,2020,Uoplyst land EU-lande,0,0,07020091,"Tomater i klaser med diameter => 47 mm, friske eller kølede"
Import,2020,Uoplyst land 3. Lande,0,0,07020091,"Tomater i klaser med diameter => 47 mm, friske eller kølede"
Import,2020,I alt,0,0,07020099,"Tomater (undtagen i klaser og med største diameter, der er mindre end 47 mm), friske eller kølede"
Import,2020,Diskretioneret,0,0,07020099,"Tomater (undtagen i klaser og med største diameter, der er mindre end 47 mm), friske eller kølede"
Import,2020,Uoplyst land,0,0,07020099,"Tomater (undtagen i klaser og med største diameter, der er mindre end 47 mm), friske eller kølede"
Import,2020,Uoplyst land EU-lande,0,0,07020099,"Tomater (undtagen i klaser og med største diameter, der er mindre end 47 mm), friske eller kølede"
Import,2020,Uoplyst land 3. Lande,0,0,07020099,"Tomater (undtagen i klaser og med største diameter, der er mindre end 47 mm), friske eller kølede"
Import,2020,I alt,425882,5210856,07031011,"Spiseløg, friske eller kølede, i form af sætteløg (undtagen skalotteløg og hvidløg)"
Import,2020,Diskretioneret,0,0,07031011,"Spiseløg, friske eller kølede, i form af sætteløg (undtagen skalotteløg og hvidløg)"
Import,2020,Uoplyst land,0,0,07031011,"Spiseløg, friske eller kølede, i form af sætteløg (undtagen skalotteløg og hvidløg)"
Import,2020,Uoplyst land EU-lande,0,0,07031011,"Spiseløg, friske eller kølede, i form af sætteløg (undtagen skalotteløg og hvidløg)"
Import,2020,Uoplyst land 3. Lande,0,0,07031011,"Spiseløg, friske eller kølede, i form af sætteløg (undtagen skalotteløg og hvidløg)"
Import,2020,I alt,5243934,53989791,07031019,"Spiseløg, friske eller kølede (undtagen i form af sætteløg og undtagen skalotteløg og hvidløg)"
Import,2020,Diskretioneret,0,0,07031019,"Spiseløg, friske eller kølede (undtagen i form af sætteløg og undtagen skalotteløg og hvidløg)"
Import,2020,Uoplyst land,0,0,07031019,"Spiseløg, friske eller kølede (undtagen i form af sætteløg og undtagen skalotteløg og hvidløg)"
Import,2020,Uoplyst land EU-lande,0,0,07031019,"Spiseløg, friske eller kølede (undtagen i form af sætteløg og undtagen skalotteløg og hvidløg)"
Import,2020,Uoplyst land 3. Lande,0,0,07031019,"Spiseløg, friske eller kølede (undtagen i form af sætteløg og undtagen skalotteløg og hvidløg)"
Import,2020,I alt,1124278,10540613,07031090,"Skalotteløg, friske eller kølede"
Import,2020,Diskretioneret,0,0,07031090,"Skalotteløg, friske eller kølede"
Import,2020,Uoplyst land,0,0,07031090,"Skalotteløg, friske eller kølede"
Import,2020,Uoplyst land EU-lande,0,0,07031090,"Skalotteløg, friske eller kølede"
Import,2020,Uoplyst land 3. Lande,0,0,07031090,"Skalotteløg, friske eller kølede"
Import,2020,I alt,2786448,62010738,07032000,"Hvidløg, friske eller kølede"
Import,2020,Diskretioneret,0,0,07032000,"Hvidløg, friske eller kølede"
Import,2020,Uoplyst land,0,0,07032000,"Hvidløg, friske eller kølede"
Import,2020,Uoplyst land EU-lande,0,0,07032000,"Hvidløg, friske eller kølede"
Import,2020,Uoplyst land 3. Lande,0,0,07032000,"Hvidløg, friske eller kølede"
Import,2020,I alt,1344113,19210203,07039000,"Porrer og andre Allium-arter, friske eller kølede (undtagen skalotteløg, hvidløg og andre spiseløg)"
Import,2020,Diskretioneret,0,0,07039000,"Porrer og andre Allium-arter, friske eller kølede (undtagen skalotteløg, hvidløg og andre spiseløg)"
Import,2020,Uoplyst land,0,0,07039000,"Porrer og andre Allium-arter, friske eller kølede (undtagen skalotteløg, hvidløg og andre spiseløg)"
Import,2020,Uoplyst land EU-lande,0,0,07039000,"Porrer og andre Allium-arter, friske eller kølede (undtagen skalotteløg, hvidløg og andre spiseløg)"
Import,2020,Uoplyst land 3. Lande,0,0,07039000,"Porrer og andre Allium-arter, friske eller kølede (undtagen skalotteløg, hvidløg og andre spiseløg)"
